Parallel RunTime : 2.976809 seconds Final Result Sn : 485165097.62503713 Result ||opt||^2_2 : 5884629305179516.000000
Parallel RunTime : 2.265310 seconds Final Result Sn : 485165097.62503743 Result ||opt||^2_2 : 5884629305179516.000000
Parallel RunTime : 2.381645 seconds Final Result Sn : 485165097.62503743 Result ||opt||^2_2 : 5884629305179516.000000
Parallel RunTime : 2.536042 seconds Final Result Sn : 485165097.62503707 Result ||opt||^2_2 : 5884629305179516.000000
Parallel RunTime : 2.342013 seconds Final Result Sn : 485165097.62503743 Result ||opt||^2_2 : 5884629305179516.000000
Parallel RunTime : 2.649679 seconds Final Result Sn : 485165097.62503743 Result ||opt||^2_2 : 5884629305179516.000000
Parallel RunTime : 2.352332 seconds Final Result Sn : 485165097.62503743 Result ||opt||^2_2 : 5884629305179516.000000
Parallel RunTime : 2.439487 seconds Final Result Sn : 485165097.62503725 Result ||opt||^2_2 : 5884629305179515.000000
Parallel RunTime : 2.440965 seconds Final Result Sn : 485165097.62503743 Result ||opt||^2_2 : 5884629305179516.000000
Parallel RunTime : 2.425193 seconds Final Result Sn : 485165097.62503743 Result ||opt||^2_2 : 5884629305179516.000000
Parallel RunTime : 2.498554 seconds Final Result Sn : 485165097.62503749 Result ||opt||^2_2 : 5884629305179516.000000
Parallel RunTime : 2.527187 seconds Final Result Sn : 485165097.62503743 Result ||opt||^2_2 : 5884629305179516.000000
Parallel RunTime : 2.414007 seconds Final Result Sn : 485165097.62503725 Result ||opt||^2_2 : 5884629305179516.000000
Parallel RunTime : 2.534212 seconds Final Result Sn : 485165097.62503743 Result ||opt||^2_2 : 5884629305179516.000000
Parallel RunTime : 2.700056 seconds Final Result Sn : 485165097.62503749 Result ||opt||^2_2 : 5884629305179516.000000
Parallel RunTime : 2.567171 seconds Final Result Sn : 485165097.62503719 Result ||opt||^2_2 : 5884629305179519.000000
Parallel RunTime : 2.987148 seconds Final Result Sn : 485165097.6250369 Result ||opt||^2_2 : 5884629305179516.000000
Parallel RunTime : 2.626028 seconds Final Result Sn : 485165097.62503749 Result ||opt||^2_2 : 5884629305179517.000000
Parallel RunTime : 2.547920 seconds Final Result Sn : 485165097.62503773 Result ||opt||^2_2 : 5884629305179516.000000
Parallel RunTime : 2.377985 seconds Final Result Sn : 485165097.62503743 Result ||opt||^2_2 : 5884629305179516.000000
Parallel RunTime : 2.550273 seconds Final Result Sn : 485165097.62503749 Result ||opt||^2_2 : 5884629305179516.000000
Parallel RunTime : 2.326576 seconds Final Result Sn : 485165097.62503713 Result ||opt||^2_2 : 5884629305179516.000000
Parallel RunTime : 2.506135 seconds Final Result Sn : 485165097.62503743 Result ||opt||^2_2 : 5884629305179516.000000
Parallel RunTime : 2.381498 seconds Final Result Sn : 485165097.62503749 Result ||opt||^2_2 : 5884629305179516.000000
