[0.014352,0.009671,0.237346]
[0.013053,0.01041,0.238531]
[0.012769,0.010035,0.231835]
[0.012692,0.010768,0.239536]
[0.012846,0.010941,0.235496]
[0.012807,0.010643,0.229316]
[0.012508,0.009872,0.231932]
[0.012688,0.010025,0.228121]
[0.012653,0.010545,0.23085]
[0.012731,0.008308,0.233048]
[0.013087,0.010392,0.231432]
[0.012884,0.010306,0.232981]
[0.012562,0.010206,0.234982]
[0.012726,0.010213,0.228979]
[0.012853,0.011003,0.22954]
[0.012996,0.010507,0.228024]
[0.012829,0.010062,0.232972]
[0.012553,0.010826,0.237944]
[0.012466,0.009787,0.23238]
[0.012592,0.009576,0.231966]
[0.012906,0.010684,0.226567]
[0.012655,0.01013,0.236473]
[0.012633,0.010223,0.226006]
[0.012751,0.010312,0.231514]

N=6

[0.135445,0.033421,2.2359]
[0.12923,0.032372,2.16616]
[0.129719,0.03283,2.15981]
[0.129704,0.031523,2.14524]
[0.129073,0.0302,2.19027]
[0.129316,0.032108,2.14658]
[0.128471,0.029954,2.15257]
[0.12925,0.030692,2.13719]
[0.13024,0.030824,2.15189]
[0.129076,0.031246,2.1288]
[0.12911,0.058688,2.14871]
[0.130472,0.032664,2.15333]
[0.128341,0.031009,2.15119]
[0.129986,0.033339,2.12444]
[0.132315,0.031763,2.1301]
[0.130792,0.0361,2.1734]
[0.129063,0.031949,2.15948]
[0.1285,0.030945,2.1443]
[0.128816,0.031208,2.15053]
[0.129421,0.031267,2.15075]
[0.128401,0.03094,2.16166]
[0.128828,0.031693,2.1596]
[0.129958,0.032801,2.14848]
[0.130028,0.03159,2.18996]

N=7


[1.34661,0.282,20.2398]
[1.26807,0.24698,20.6871]
[1.27054,0.23655,20.466]
[1.27082,0.225324,20.1363]
[1.2742,0.242765,20.498]
[1.27148,0.255553,20.4754]
[1.27937,0.232451,20.5144]
[1.27387,0.244289,20.65]
[1.26877,0.237948,20.6815]
[1.27307,0.231936,20.4366]
[1.26576,0.245256,21.233]
[1.27083,0.284682,20.3703]
[1.29405,0.244606,20.784]
[1.26827,0.255926,20.959]
[1.26914,0.249069,20.0945]
[1.27044,0.239806,20.464]
[1.27148,0.229522,21.8533]
[1.26942,0.248428,20.5249]
[1.27795,0.230448,20.5472]
[1.28074,0.241378,20.2155]
[1.2692,0.26667,20.3322]
[1.27091,0.230575,20.398]
[1.27463,0.238107,20.4413]
[1.27299,0.23747,21.2317]

N=8

[13.0599,2.19265,193.533]
[12.6059,2.32238,196.503]
[12.5933,2.26749,193.967]
[12.5992,2.28658,196.9]
[12.6439,2.29612,195.044]
[12.5842,2.23146,197.621]
[12.7983,2.22573,196.44]
[12.6688,2.40447,199.822]
[12.7356,2.33195,197.02]
[12.7443,2.1931,197.128]
[12.6536,2.25264,196.129]
[12.5685,2.24772,196.219]
[12.7079,2.25307,192.967]
[12.6679,2.40593,194.671]
[12.6289,2.30005,198.931]
[12.5959,2.27854,196.816]
[12.5998,2.30106,197.86]
[12.6118,2.32708,197.989]
[12.6731,2.2374,194.617]
[12.5966,2.40652,195.745]
[12.6829,2.1633,193.442]
[12.7839,2.20848,197.318]
[12.6771,2.23365,196.789]
[12.7206,2.30074,194.02]

