N=5
[0.015741,0.017919,0.104145]
[0.015188,0.015493,0.150616]
[0.015187,0.013445,0.212955]
[0.015214,0.011891,0.227325]
[0.014956,0.011065,0.233978]
[0.015552,0.016432,0.243989]
[0.015174,0.016546,0.262151]
[0.015408,0.014838,0.27951]
[0.014994,0.013047,0.256692]
[0.014988,0.012628,0.252561]
[0.015402,0.018999,0.268238]
[0.01511,0.015487,0.260226]
[0.015154,0.022086,0.269717]
[0.014981,0.014072,0.26963]
[0.014998,0.01794,0.265542]
[0.015165,0.017893,0.277143]
[0.015232,0.020079,0.270221]
[0.015076,0.019557,0.272582]
[0.014955,0.018146,0.262491]
[0.015026,0.019684,0.258679]
[0.015429,0.029069,0.27249]
[0.015648,0.0299,0.284282]
[0.015006,0.023082,0.27254]
[0.01527,0.02439,0.270142]

N=7


[1.64132,1.58405,11.1071]
[1.63093,0.855238,14.9737]
[1.58069,0.527321,19.9955]
[1.59878,0.411642,22.6971]
[1.57908,0.374668,25.2163]
[1.5111,0.259487,28.4208]
[1.50787,0.231393,25.3581]
[1.52669,0.303114,24.0204]
[1.51726,0.278888,23.6586]
[1.50901,0.276533,23.6027]
[1.51074,0.273776,23.9958]
[1.51927,0.258465,23.5703]
[1.49949,0.240503,23.5754]
[1.50923,0.224577,23.3569]
[1.51113,0.219495,24.5352]
[1.51362,0.20246,23.672]
[1.50309,0.218499,23.8229]
[1.51372,0.218529,23.3836]
[1.50786,0.230318,23.3646]
[1.51112,0.222908,22.6031]
[1.51044,0.236222,23.0271]
[1.51264,0.222031,22.8676]
[1.51196,0.210141,22.7144]
[1.51091,0.205838,22.8016]

N=6

[0.151753,0.150484,1.02929]
[0.151185,0.078018,1.82051]
[0.150865,0.053835,9.66546]
[0.150837,0.042275,2.34687]
[0.150962,0.035138,3.34879]
[0.151217,0.033328,2.86442]
[0.151324,0.029431,2.73418]
[0.150599,0.029914,2.55628]
[0.15104,0.039873,2.50725]
[0.152302,0.035549,2.54256]
[0.151562,0.032916,2.78942]
[0.152416,0.036591,2.57263]
[0.151321,0.033862,2.67529]
[0.185184,0.163968,2.58474]
[0.151543,0.048907,2.74733]
[0.150965,0.034142,2.56396]
[0.151507,0.031509,2.47754]
[0.15048,0.033597,2.73246]
[0.156853,0.131981,2.5885]
[0.156476,0.040017,2.44834]
[0.150639,0.033398,2.4409]
[0.151018,0.03416,2.49886]
[0.150993,0.033345,2.53214]
[0.151999,0.033225,2.3707]
